
models                      LL-train  LL-valid  LL-test  PPL-train  PPL-valid  PPL-test  lm-scale  dt_real  dt_simu  et_real  et_simu  dt     et     
KN3_000                     84.813    71.063    71.063   34.708     57.533     57.533    12        6.213    5.586    9.730    6.901    
KN4_0000                    64.672    68.271    68.271   14.950     49.065     49.065    14        5.059    4.727    7.464    5.953    4.893  6.709  
KN5_00000                   51.603    67.515    67.515   8.655      46.993     46.993    14        5.030    4.790    7.375    5.781    4.910  6.578  
KN6_000000                  45.067    67.219    67.219   6.585      46.208     46.208    14        5.008    4.683    7.399    5.753    4.845  6.576  
lstm_e512_h512x2            79.458    58.346    79.458   27.746     28.381     27.892    13        3.544    2.998    5.395    4.212    3.271  4.803  
lstm_e200_h200x2_BNCE       102.488   69.083    102.488  72.690     52.531     51.503    16        4.742    4.181    6.619    5.262    4.462  5.940  
lstm_e200_h200x2_BNCE_adam  88.568    66.194    88.568   40.611     44.511     39.612    13        4.606    4.259    6.544    5.300    4.432  5.922  
lstm_e200_h200x2_BNCE_sgd   98.868    66.859    98.868   62.479     46.241     45.291    16        4.384    4.004    6.371    5.108    4.194  5.740  
lstm_e200_h200x2            85.686    61.953    85.686   36.000     34.902     34.455    14        3.898    3.488    5.750    4.473    3.693  5.112  
lstm_e200_h200x2_beg        85.753    61.981    85.753   36.102     34.958     34.504    12        3.935    3.518    5.885    4.651    3.726  5.268  
lstm_e512_h512x2_beg        78.952    58.801    78.952   27.164     29.132     28.653    12        3.595    3.101    5.404    3.950    3.348  4.677  
lstm_e512_h512x2_BNCE_SGD   92.371    61.184    92.371   47.612     32.891     32.731    13        3.389    3.167    5.414    4.020    3.278  4.717  
