
models                       LL-train  LL-valid  LL-test  PPL-train  PPL-valid  PPL-test  lm-scale  dt     et      dt_real  dt_simu  et_real  et_simu  
KN4_0000                     50.436    109.654   108.727  9.801      149.896    142.716   11        9.611  11.939  10.111   9.111    12.938   10.940   
KN5_00000                    45.530    109.377   108.491  7.849      148.009    141.187   11        9.617  11.925  10.111   9.122    12.901   10.950   
KN6_000000                   43.835    109.281   108.438  7.270      147.365    140.842   11        9.611  11.923  10.115   9.108    12.906   10.940   
lstm_withBegToken_200x2_old  104.543   108.831   104.543  92.516     118.574    113.879   12        8.982  11.358  9.329    8.636    12.224   10.492   
LSTM2x200+KN5                0         0         0        0          0          0         13        8.776  11.005  9.167    8.385    11.976   10.035   
LSTM2x200+TRF_rnn200x2       0         0         0        0          0          0         13        8.503  10.987  8.935    8.072    11.841   10.133   
LSTM2x200+KN5+TRF_rnn200x2   0         0         0        0          0          0         14        8.420  10.830  8.802    8.038    11.817   9.843    
lstm_withBegToken_200x2      105.646   119.823   105.646  119.216    238.547    211.325   10        9.298  11.795  9.724    8.872    12.635   10.954   
lstm_e200_h200x2             81.922    104.935   81.922   40.750     120.982    114.817   12        8.477  10.428  8.743    8.212    11.411   9.446    
lstm_e200_h200x2_BNCE        111.824   116.605   111.824  157.706    206.675    201.921   13        8.601  10.657  8.920    8.282    11.551   9.764    
lstm_e200_h200x2_BNCE_SGD    112.001   116.456   112.001  158.975    205.273    201.551   13        8.457  10.751  8.787    8.127    11.738   9.764    
KN2_00                       99.966    115.858   114.498  92.197     199.019    185.705   12        9.843  12.418  10.270   9.417    13.448   11.389   
KN3_000                      66.162    110.774   109.566  19.967     157.766    148.281   11        9.609  11.972  10.126   9.093    12.995   10.950   
